Classifier,Accuracy,Precision,Recall,F1-Score,Log Loss
LinearSVC,0.7131363834768462,0.8433669220829687,0.7131363834768462,0.7481368750205769,
LGBMClassifier,0.8488353636760446,0.8787811258240175,0.8488353636760446,0.8588386443042242,0.2701111708478204
RandomForestClassifier,0.8868646085472799,0.88910207179078,0.8868646085472799,0.8879054394924928,0.24987169654467936
GradientBoostingClassifier,0.8083409388516328,0.8726827900308346,0.8083409388516328,0.8270202950029814,0.2941105587798918
HistGradientBoostingClassifier,0.8494355382722908,0.8793771542930603,0.8494355382722908,0.8594118646880474,0.2703958453415357
XGBClassifier,0.8536069997222332,0.8800690274522516,0.8536069997222332,0.8626249921390664,0.2655485240652951
CatBoostClassifier,0.8661908257608825,0.8830183167222182,0.8661908257608825,0.8723822693971142,0.2571669089304572
LogisticRegression,0.7161124558549264,0.8412016788118162,0.7161124558549264,0.7504159098672891,0.48058673459188755
AdaBoostClassifier,0.8057666362445934,0.8726425251517689,0.8057666362445934,0.8250132456771049,0.5376154050630266
KNeighborsClassifier,0.7503670489266299,0.8533091698373305,0.7503670489266299,0.7790552970368942,4.43591116616359
GaussianNB,0.5283421292805841,0.8583457597571854,0.5283421292805841,0.5755458736010455,2.640026913574216
PassiveAggressiveClassifier,0.5960130550374985,0.7954501277747513,0.5960130550374985,0.6471493785975676,
NearestCentroidClassifier,0.7088409190111503,0.8331558531060611,0.7088409190111503,0.7439006666848529,
QuadraticDiscriminantAnalysis,0.4986905281536447,0.8573699111484119,0.4986905281536447,0.543671279406851,2.7177891752988987
