Classifier,Accuracy,Precision,Recall,F1-Score,Log Loss
LinearSVC,0.6741468718900925,0.6925180936354005,0.6741468718900925,0.6773599541665851,
LGBMClassifier,0.7389728442478832,0.7403730800292875,0.7389728442478832,0.7281619938148148,0.4261108363003228
RandomForestClassifier,0.7452936070634842,0.7523120699248936,0.7452936070634842,0.7314734234090626,0.42610530516535433
GradientBoostingClassifier,0.7456338090862555,0.7539844757672581,0.7456338090862555,0.7310891375932023,0.42617333843746047
HistGradientBoostingClassifier,0.7390300744947046,0.740403335156987,0.7390300744947046,0.7282512543449388,0.4262794297868435
XGBClassifier,0.7319716773867397,0.7293624924394445,0.7319716773867397,0.724856776733615,0.43065505277048904
CatBoostClassifier,0.7327697213840817,0.730180088659742,0.7327697213840817,0.7257515817449053,0.4335030396621089
LogisticRegression,0.6752151698307575,0.6909431575426417,0.6752151698307575,0.6783581182461861,0.5528360516399254
AdaBoostClassifier,0.733367459517549,0.7308168978988895,0.733367459517549,0.7263734935711564,0.5796661654039535
KNeighborsClassifier,0.6618837017795427,0.6854479298767497,0.6618837017795427,0.6651386776506165,4.399078117807284
GaussianNB,0.6372619778137409,0.693193353384834,0.6372619778137409,0.6365489945548155,1.6324973883903535
PassiveAggressiveClassifier,0.6301209147937008,0.6252108980788743,0.6301209147937008,0.6268649422570908,
NearestCentroidClassifier,0.6784200636527523,0.6881988065932393,0.6784200636527523,0.6810702785271269,
QuadraticDiscriminantAnalysis,0.6112253949681895,0.7127483177111678,0.6112253949681895,0.5994664240355679,1.5838717319655646
